Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Gap_Days,Gap_Flag,Return,SMA_20,SMA_50,SMA_200,RSI,Bollinger_Bands_Upper,Bollinger_Bands_Lower
RELIANCE.NS,2025-06-05,1428.0,1454.7,1423.6,1442.4,1436.66,13716817,1.0,False,1.33,1424.44,,,61.48,1459.93,1388.95
RELIANCE.NS,2025-06-06,1441.0,1451.5,1437.0,1443.5,1437.76,8182161,1.0,False,0.08,1427.76,,,61.72,1456.39,1399.12
RELIANCE.NS,2025-06-09,1457.0,1457.5,1445.3,1448.8,1443.04,7885125,3.0,False,0.37,1428.37,,,62.92,1458.29,1398.45
RELIANCE.NS,2025-06-10,1450.0,1453.9,1436.0,1438.5,1432.78,7913181,1.0,False,-0.71,1429.51,,,59.05,1459.14,1399.88
RELIANCE.NS,2025-06-11,1445.8,1468.6,1443.1,1448.9,1443.14,8195700,1.0,False,0.72,1430.74,,,61.61,1461.48,1399.99
RELIANCE.NS,2025-06-12,1453.5,1457.0,1434.4,1441.6,1435.87,8828114,1.0,False,-0.5,1430.1,,,58.83,1459.3,1400.91
RELIANCE.NS,2025-06-13,1424.0,1435.5,1414.3,1427.9,1422.22,9757276,1.0,False,-0.95,1428.68,1366.97,,53.9,1455.12,1402.24
RELIANCE.NS,2025-06-16,1426.9,1442.4,1424.4,1437.8,1432.08,8458093,3.0,False,0.69,1428.53,1370.67,,56.72,1454.72,1402.34
RELIANCE.NS,2025-06-17,1448.0,1448.0,1425.8,1431.2,1425.51,10366599,1.0,False,-0.46,1428.86,1374.27,,54.33,1455.01,1402.71
RELIANCE.NS,2025-06-18,1430.0,1442.8,1425.7,1430.1,1424.41,6681735,1.0,False,-0.08,1428.9,1377.9,,53.93,1455.06,1402.75
RELIANCE.NS,2025-06-19,1430.1,1439.9,1425.7,1433.3,1427.6,10007230,1.0,False,0.22,1430.1,1382.47,,54.98,1454.63,1405.57
RELIANCE.NS,2025-06-20,1431.0,1471.0,1428.1,1466.2,1460.37,29010635,1.0,False,2.3,1432.07,1388.48,,64.1,1461.35,1402.79
RELIANCE.NS,2025-06-23,1453.0,1463.8,1442.0,1456.8,1451.0,5989078,3.0,False,-0.64,1433.17,1393.98,,60.34,1464.47,1401.87
RELIANCE.NS,2025-06-24,1465.0,1475.0,1443.1,1450.8,1445.03,16402744,1.0,False,-0.41,1434.6,1399.28,,58.0,1466.4,1402.81
RELIANCE.NS,2025-06-25,1464.0,1472.4,1460.5,1467.3,1461.46,7525851,1.0,False,1.14,1437.32,1404.25,,62.33,1470.57,1404.08
RELIANCE.NS,2025-06-26,1469.1,1498.8,1465.1,1495.3,1489.35,14657893,1.0,False,1.91,1441.2,1409.36,,68.3,1482.06,1400.34
RELIANCE.NS,2025-06-27,1499.4,1522.0,1496.9,1515.4,1509.37,11117052,1.0,False,1.34,1445.92,1414.88,,71.76,1497.38,1394.47
RELIANCE.NS,2025-06-30,1513.8,1524.8,1496.0,1500.6,1494.63,8409527,3.0,False,-0.98,1450.27,1419.4,,66.04,1504.85,1395.69
RELIANCE.NS,2025-07-01,1500.6,1531.4,1500.1,1528.4,1522.32,10368523,1.0,False,1.85,1456.42,1424.06,,70.75,1517.1,1395.73
